task,rel_path,result,refinements,wall_s,log
NestedRecursion_1d,NestedRecursion_1d.c,UNKNOWN,0,0.587,output/vguide/experiments/termination_scalar_300_vguide/logs/NestedRecursion_1d.log
NestedRecursion_2b,NestedRecursion_2b.c,UNKNOWN,0,0.591,output/vguide/experiments/termination_scalar_300_vguide/logs/NestedRecursion_2b.log
NestedRecursion_2c,NestedRecursion_2c.c,UNKNOWN,0,0.622,output/vguide/experiments/termination_scalar_300_vguide/logs/NestedRecursion_2c.log
NonTermination3-1,NonTermination3-1.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_vguide/logs/NonTermination3-1.log
NonTermination3-2,NonTermination3-2.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_vguide/logs/NonTermination3-2.log
NonTerminationSimple7,NonTerminationSimple7.c,FALSE,0,0.656,output/vguide/experiments/termination_scalar_300_vguide/logs/NonTerminationSimple7.log
Nyala-2lex-2,Nyala-2lex-2.c,TRUE,0,0.978,output/vguide/experiments/termination_scalar_300_vguide/logs/Nyala-2lex-2.log
Parallel,Parallel.c,TRUE,0,0.937,output/vguide/experiments/termination_scalar_300_vguide/logs/Parallel.log
Piecewise,Piecewise.c,TRUE,0,1.063,output/vguide/experiments/termination_scalar_300_vguide/logs/Piecewise.log
Pure2Phase-1,Pure2Phase-1.c,TRUE,0,1.041,output/vguide/experiments/termination_scalar_300_vguide/logs/Pure2Phase-1.log
Arrays02-EquivalentConstantIndices,Arrays02-EquivalentConstantIndices.c,UNKNOWN,0,115.721,output/vguide/experiments/termination_scalar_300_vguide/logs/Arrays02-EquivalentConstantIndices.log
RecursiveMultiplication-1,RecursiveMultiplication-1.c,UNKNOWN,0,0.626,output/vguide/experiments/termination_scalar_300_vguide/logs/RecursiveMultiplication-1.log
RecursiveNonterminating-1,RecursiveNonterminating-1.c,UNKNOWN,0,0.591,output/vguide/experiments/termination_scalar_300_vguide/logs/RecursiveNonterminating-1.log
Rotation180-1,Rotation180-1.c,FALSE,0,0.673,output/vguide/experiments/termination_scalar_300_vguide/logs/Rotation180-1.log
Singapore-2,Singapore-2.c,TRUE,0,1.235,output/vguide/experiments/termination_scalar_300_vguide/logs/Singapore-2.log
Stockholm-1,Stockholm-1.c,TRUE,0,0.913,output/vguide/experiments/termination_scalar_300_vguide/logs/Stockholm-1.log
SyntaxSupportPointer01-1,SyntaxSupportPointer01-1.c,UNKNOWN,0,0.772,output/vguide/experiments/termination_scalar_300_vguide/logs/SyntaxSupportPointer01-1.log
SyntaxSupportPointer01-2,SyntaxSupportPointer01-2.c,UNKNOWN,0,0.769,output/vguide/experiments/termination_scalar_300_vguide/logs/SyntaxSupportPointer01-2.log
SyntaxSupportPointer01-3,SyntaxSupportPointer01-3.c,UNKNOWN,0,0.823,output/vguide/experiments/termination_scalar_300_vguide/logs/SyntaxSupportPointer01-3.log
TelAviv-Amir-Minimum,TelAviv-Amir-Minimum.c,TRUE,0,1.127,output/vguide/experiments/termination_scalar_300_vguide/logs/TelAviv-Amir-Minimum.log
Thun-2,Thun-2.c,TRUE,0,1.044,output/vguide/experiments/termination_scalar_300_vguide/logs/Thun-2.log
Arrays03-ValueRestictsIndex-2,Arrays03-ValueRestictsIndex-2.c,UNKNOWN,0,296.191,output/vguide/experiments/termination_scalar_300_vguide/logs/Arrays03-ValueRestictsIndex-2.log
Toulouse-MultiBranchesToLoop-2,Toulouse-MultiBranchesToLoop-2.c,TRUE,0,2.352,output/vguide/experiments/termination_scalar_300_vguide/logs/Toulouse-MultiBranchesToLoop-2.log
Waldkirch,Waldkirch.c,TRUE,0,0.930,output/vguide/experiments/termination_scalar_300_vguide/logs/Waldkirch.log
WhileFalse,WhileFalse.c,TRUE,0,0.623,output/vguide/experiments/termination_scalar_300_vguide/logs/WhileFalse.log
WhileTrue,WhileTrue.c,FALSE,0,0.701,output/vguide/experiments/termination_scalar_300_vguide/logs/WhileTrue.log
aaron2-1,aaron2-1.c,TRUE,0,0.941,output/vguide/experiments/termination_scalar_300_vguide/logs/aaron2-1.log
Copenhagen_disj-2,Copenhagen_disj-2.c,UNKNOWN,0,288.069,output/vguide/experiments/termination_scalar_300_vguide/logs/Copenhagen_disj-2.log
easy1,easy1.c,TRUE,0,1.054,output/vguide/experiments/termination_scalar_300_vguide/logs/easy1.log
easy2-2,easy2-2.c,TRUE,0,0.885,output/vguide/experiments/termination_scalar_300_vguide/logs/easy2-2.log
Ackermann01-1,Ackermann01-1.c,UNKNOWN,0,0.617,output/vguide/experiments/termination_scalar_300_vguide/logs/Ackermann01-1.log
Binomial,Binomial.c,UNKNOWN,0,0.611,output/vguide/experiments/termination_scalar_300_vguide/logs/Binomial.log
EvenOdd01-2,EvenOdd01-2.c,UNKNOWN,0,0.620,output/vguide/experiments/termination_scalar_300_vguide/logs/EvenOdd01-2.log
Fibonacci01-2,Fibonacci01-2.c,UNKNOWN,0,0.629,output/vguide/experiments/termination_scalar_300_vguide/logs/Fibonacci01-2.log
LeUserDefRec,LeUserDefRec.c,UNKNOWN,0,0.618,output/vguide/experiments/termination_scalar_300_vguide/logs/LeUserDefRec.log
LogRecursive,LogRecursive.c,UNKNOWN,0,0.611,output/vguide/experiments/termination_scalar_300_vguide/logs/LogRecursive.log
Parts,Parts.c,UNKNOWN,0,0.670,output/vguide/experiments/termination_scalar_300_vguide/logs/Parts.log
LexIndexValue-Array-1,LexIndexValue-Array-1.c,UNKNOWN,0,295.545,output/vguide/experiments/termination_scalar_300_vguide/logs/LexIndexValue-Array-1.log
TerminatorRec02,TerminatorRec02.c,UNKNOWN,0,0.603,output/vguide/experiments/termination_scalar_300_vguide/logs/TerminatorRec02.log
TwoWay,TwoWay.c,UNKNOWN,0,0.611,output/vguide/experiments/termination_scalar_300_vguide/logs/TwoWay.log
gcd01-2,gcd01-2.c,UNKNOWN,0,0.658,output/vguide/experiments/termination_scalar_300_vguide/logs/gcd01-2.log
recHanoi02-1,recHanoi02-1.c,UNKNOWN,0,0.873,output/vguide/experiments/termination_scalar_300_vguide/logs/recHanoi02-1.log
rec_counter1,rec_counter1.c,UNKNOWN,0,0.635,output/vguide/experiments/termination_scalar_300_vguide/logs/rec_counter1.log
rec_counter3,rec_counter3.c,UNKNOWN,0,0.658,output/vguide/experiments/termination_scalar_300_vguide/logs/rec_counter3.log
twisted,twisted.c,TRUE,0,3.512,output/vguide/experiments/termination_scalar_300_vguide/logs/twisted.log
java_LogBuiltIn,java_LogBuiltIn.c,TRUE,0,8.935,output/vguide/experiments/termination_scalar_300_vguide/logs/java_LogBuiltIn.log
LexIndexValue-Pointer-2,LexIndexValue-Pointer-2.c,UNKNOWN,0,290.912,output/vguide/experiments/termination_scalar_300_vguide/logs/LexIndexValue-Pointer-2.log
Pure3Phase-1,Pure3Phase-1.c,UNKNOWN,0,295.585,output/vguide/experiments/termination_scalar_300_vguide/logs/Pure3Phase-1.log
Toulouse-BranchesToLoop-2,Toulouse-BranchesToLoop-2.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_vguide/logs/Toulouse-BranchesToLoop-2.log
aaron3-1,aaron3-1.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_vguide/logs/aaron3-1.log
