task,rel_path,result,refinements,wall_s,log
Cairo_step2-1,Cairo_step2-1.c,TRUE,0,0.845,output/vguide/experiments/termination_scalar_300_stock/logs/Cairo_step2-1.log
Cairo_step2-3,Cairo_step2-3.c,FALSE,0,0.784,output/vguide/experiments/termination_scalar_300_stock/logs/Cairo_step2-3.log
Copenhagen,Copenhagen.c,TRUE,0,0.831,output/vguide/experiments/termination_scalar_300_stock/logs/Copenhagen.log
Division-2,Division-2.c,FALSE,0,0.998,output/vguide/experiments/termination_scalar_300_stock/logs/Division-2.log
Gothenburg-1,Gothenburg-1.c,TRUE,0,1.057,output/vguide/experiments/termination_scalar_300_stock/logs/Gothenburg-1.log
Gothenburg_v2-1,Gothenburg_v2-1.c,TRUE,0,0.969,output/vguide/experiments/termination_scalar_300_stock/logs/Gothenburg_v2-1.log
Arrays01-EquivalentConstantIndices-1,Arrays01-EquivalentConstantIndices-1.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_stock/logs/Arrays01-EquivalentConstantIndices-1.log
4NestedWith3Variables-1,4NestedWith3Variables-1.c,UNKNOWN,0,329.716,output/vguide/experiments/termination_scalar_300_stock/logs/4NestedWith3Variables-1.log
Lobnya-Boolean-Reordered-2,Lobnya-Boolean-Reordered-2.c,UNKNOWN,0,1.252,output/vguide/experiments/termination_scalar_300_stock/logs/Lobnya-Boolean-Reordered-2.log
Madrid,Madrid.c,UNKNOWN,0,0.850,output/vguide/experiments/termination_scalar_300_stock/logs/Madrid.log
McCarthy91_Iteration,McCarthy91_Iteration.c,TRUE,0,3.841,output/vguide/experiments/termination_scalar_300_stock/logs/McCarthy91_Iteration.log
McCarthy91_Recursion,McCarthy91_Recursion.c,UNKNOWN,0,0.510,output/vguide/experiments/termination_scalar_300_stock/logs/McCarthy91_Recursion.log
MenloPark,MenloPark.c,TRUE,0,0.987,output/vguide/experiments/termination_scalar_300_stock/logs/MenloPark.log
MutualRecursion_1a,MutualRecursion_1a.c,UNKNOWN,0,0.541,output/vguide/experiments/termination_scalar_300_stock/logs/MutualRecursion_1a.log
MutualRecursion_1b,MutualRecursion_1b.c,UNKNOWN,0,0.541,output/vguide/experiments/termination_scalar_300_stock/logs/MutualRecursion_1b.log
Mysore-2,Mysore-2.c,TRUE,0,0.802,output/vguide/experiments/termination_scalar_300_stock/logs/Mysore-2.log
Mysore-3,Mysore-3.c,FALSE,0,0.681,output/vguide/experiments/termination_scalar_300_stock/logs/Mysore-3.log
NestedRecursion_1a-2,NestedRecursion_1a-2.c,UNKNOWN,0,0.506,output/vguide/experiments/termination_scalar_300_stock/logs/NestedRecursion_1a-2.log
NestedRecursion_1b,NestedRecursion_1b.c,UNKNOWN,0,0.515,output/vguide/experiments/termination_scalar_300_stock/logs/NestedRecursion_1b.log
NestedRecursion_1c,NestedRecursion_1c.c,UNKNOWN,0,0.523,output/vguide/experiments/termination_scalar_300_stock/logs/NestedRecursion_1c.log
NestedRecursion_1d,NestedRecursion_1d.c,UNKNOWN,0,0.505,output/vguide/experiments/termination_scalar_300_stock/logs/NestedRecursion_1d.log
NestedRecursion_2b,NestedRecursion_2b.c,UNKNOWN,0,0.508,output/vguide/experiments/termination_scalar_300_stock/logs/NestedRecursion_2b.log
NestedRecursion_2c,NestedRecursion_2c.c,UNKNOWN,0,0.516,output/vguide/experiments/termination_scalar_300_stock/logs/NestedRecursion_2c.log
NonTermination3-1,NonTermination3-1.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_stock/logs/NonTermination3-1.log
NonTermination3-2,NonTermination3-2.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_stock/logs/NonTermination3-2.log
NonTerminationSimple7,NonTerminationSimple7.c,FALSE,0,0.624,output/vguide/experiments/termination_scalar_300_stock/logs/NonTerminationSimple7.log
